titulo,diretor,ano,festival,secao,resultado,premiado,fonte
Cantos de um Livro Sagrado,Cassiana Der Haroutiounian e Cesar Gananian,2022,Rotterdam,Ammodo Tiger Short Competition,selecionado,False,painel curado (xlsx)
Soluções Urbanas,"Arne Hector, Luciana Mazeto, Vinícius Lopes e Minze Tummescheit",2022,Rotterdam,Ammodo Tiger Short Competition,selecionado,False,painel curado (xlsx)
As Miçangas,Rafaela Camelo e Emanuel Lavor,2023,Berlinale,Berlinale Shorts,selecionado,False,painel curado (xlsx)
Infantaria,Laís Santos Araújo,2023,Berlinale,Generation 14plus,premiado — Prêmio Especial do Júri Generation 14plus,True,painel curado (xlsx)
Du bist so Wunderbar,Leandro Goddinho e Paulo Menezes,2023,Locarno,Pardi di domani — Concorso Internazionale,premiado — Pardino d'Argento SRG SSR,True,painel curado (xlsx)
Remendo,Roger Ghil,2023,Rotterdam,Ammodo Tiger Short Competition,selecionado,False,painel curado (xlsx)
Solos,Pedro Vargas,2023,Cannes,La Cinef (Cinéfondation),selecionado,False,painel curado (xlsx)
Amarela,André Hayato Saito,2024,Cannes,Compétition Court Métrage,selecionado,False,painel curado (xlsx)
A Menina e o Pote,Valentina Homem,2024,Cannes,Semaine de la Critique,selecionado,False,painel curado (xlsx)
Minha Mãe É uma Vaca,Moara Passoni,2024,Veneza,Orizzonti,selecionado,False,painel curado (xlsx)
Potenciais à Deriva,Leonardo Pirondi,2024,Rotterdam,Tiger Short Competition,selecionado,False,painel curado (xlsx)
Fale a Ela o que Me Aconteceu,Pethrus Tibúrcio,2025,Rotterdam,Tiger Short Competition,selecionado,False,painel curado (xlsx)
Quem se Move,Stephanie Ricci,2025,Rotterdam,Tiger Short Competition,selecionado,False,painel curado (xlsx)
Anba dlo,Luiza Calagian e Rosa Caldeira,2025,Berlinale,Berlinale Shorts,selecionado,False,painel curado (xlsx)
Arame Farpado,Gustavo de Carvalho,2025,Berlinale,Generation 14plus,selecionado,False,painel curado (xlsx)
Hora do Recreio,Lucia Murat,2025,Berlinale,Generation 14plus,selecionado,False,painel curado (xlsx)
Samba Infinito,Leonardo Martinelli,2025,Cannes,Semaine de la Critique,selecionado,False,painel curado (xlsx)
Safo,Rosana Urbes,2025,Annecy,Competição Oficial,premiado — Prix Alexeïeff-Parker,True,painel curado (xlsx)
Areia,Caetano Gotardo,2008,Cannes,Semaine de la Critique,selecionado,False,estudo anterior (pesquisa externa) + bambufilmes.com.br
Dizem que os Cães Veem Coisas,Guto Parente,2012,Locarno,Pardi di domani,selecionado,False,estudo anterior (pesquisa externa) + vertentesdocinema.com
Dona Sônia Pediu uma Arma ao Seu Vizinho Alcides,Gabriel Martins,2012,Rotterdam,Competição de curtas,premiado,True,estudo anterior (pesquisa externa) + filmesdeplastico.com.br
L,Thais Fujinaga,2012,Berlinale,Generation,premiado — menção especial do júri internacional,True,estudo anterior (pesquisa externa) + centrodaterra.org.br
Na Sua Companhia,Marcelo Caetano,2012,Rotterdam,Competição de curtas,selecionado,False,estudo anterior (pesquisa externa)
Muro,Tião,2008,Cannes,Quinzaine des Réalisateurs,premiado — Prix Regards Neuf,True,pesquisa 2026-08-15 (pt.wikipedia Brasil no Festival de Cannes)
Tremor,Ricardo Alves Júnior,2013,Locarno,Pardi di domani,premiado,True,pesquisa 2026-08-15 (peoplepill/perfil do diretor)
A Máquina Infernal,Francis Vogner dos Reis,2021,Locarno,Pardi di domani,selecionado,False,pesquisa 2026-08-15 (locarnofestival.ch)
Como Respirar Fora d'Água,Victoria Negreiros,2022,Clermont-Ferrand,Competição Internacional,selecionado,False,pesquisa 2026-08-15 (cinevitor.com.br)
Como Respirar Fora d'Água,Júlia Fávero,2022,Clermont-Ferrand,Competição Internacional,selecionado,False,pesquisa 2026-08-15 (cinevitor.com.br)
São Paulo Open Wound,Elizabeth Rocha Salgado,2022,Clermont-Ferrand,Competição Internacional,selecionado,False,pesquisa 2026-08-15 (cinevitor.com.br)
