cpb,titulo,titulo_norm,pontuacao_total,n_festivais,lista_festivais,fonte,Oscar,Cannes,Berlim,Veneza,Sundance,Locarno,TIFF,San Seb.,Rotterdam,Annecy,Outros Intl,Havana,NYFF,BFI London,BAFTA,Globo de Ouro,Brasília,Gramado,Fest.Rio,Mostra SP
B2100408300000,DESERTO PARTICULAR,deserto particular,49.5,17,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | BAFICI | Cine PE - Fetival Audiovisual do Recife | Festival de Cinema Brésilien de Paris | Festival de Cinema de Istambul | Festival de Cinema Ibero-americano de Huelva | Festival de Cinema LGBTIQ+ de Londres - BFI Flare | Festival du Film Brésilien de Montreal | Festival Internacional de Cinema de Veneza | Festival Internacional de Cinema do Uruguai | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Giornate degli Autori | IFFI - Festival Internacional de cinema da Índia (Goa) | Mix Brasil | Mostra Internacional de Cinema de São Paulo | SFF - Sydney Film Festival | Thessaloniki International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2200442800000,MEDUSA,medusa,71.5,23,Festival de Cannes | Festival de Cinema de Denver / Denver Film Festival | Festival de Cinema Ibero-americano de Huelva / Festival de Huelva de Cine Iberoamericano | Festival do Rio | Festival Internacional de Cinema de Guadalajara / Festival Internacional de Cine en Guadalajara FICG | Festival Internacional de Cinema de Toronto / Toronto International Film Festival (TIFF) | Festival Internacional de Cinema de Viena / Viennale | Mostra Internacional de Cinema de São Paulo | Sitges - Festival Internacional de Cinema Fantástico da Catalunha | Cinélatino Encontros de Cinema da Amércia Latina de Toulouse / Cinélatino - Rencontres de Toulouse | Festival de Cinema de Istambul / Istanbul Film Festival (IKSV) | Festival de Cinema de Miami / Miami Film Festival | Festival de Cinema de Zurique / Zurich Film Festival (ZFF) | Festival Internacional de Cinema de Jeonju / Jeonju Internacional Film Festival (JIFF) | Festival Internacional de Cinema de Palm Springs / Palm Springs International Film Festival | Festival Internacional de Cinema de Roterdã / Internacional Film Festival Rotterdam (IFFR) | Festival Internacional de Cinema de Viña del Mar (FicViña) | Festival Internacional de Cinema Feminino / Festival International de Films de Femmes | Festival Internacional de Cinema Independente de Buenos Aires (BAFICI) | INDIELISBOA - Festival Internacional de Cinema | Panorama Internacional Coisa de Cinema | Academia Brasileira de Cinema (Grande Prêmio do Cinema Brasileiro) | Mostra de Cinema de Tiradentes,"Ata BRDE/FSA Desempenho Artístico 2ª Edição 2024 (ANCINE, 08/08/2025)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2300001100000,REGRA 34,regra 34,62.5,25,Festival Cavalo de Ouro de Taipei / Taipei Golden Horse Film Festival | Festival de Cinema Black Nights de Tallin / Tallinn Black Nights Film Festival (BNFF / POFF) | Festival de Cinema Ibero-americano de Huelva / Festival de Huelva de Cine Iberoamericano | Festival do Rio | Festival dos 3 continentes / Festival Des 3 Continents (Nantes) | Festival du Nouveau Cinéma de Montréal (FNC) | Festival Internacional de Cinema de Atenas / Athens International Film Festival (AIFF) | Festival Internacional de Cinema de Busan / Busan International Film Festival (BIFF) | Festival Internacional de Cinema de Calcutá / Kolkata International Film Festival (KIFF) | Festival Internacional de Cinema de Kerala / International Film Festival of Kerala (IFFK) | Festival Internacional de Cinema de Locarno / Locarno Film Festival | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Festival MixBrasil da Cultura da Diversidade | Mostra Internacional de Cinema de São Paulo | NewFest - Festival de Cinema e Mídias LGBTQ+ / NewFest – LGBTQ+ Film and Media Festival | Panorama Internacional Coisa de Cinema | BFI Flare: Festival de Cinema LGBTQIA+ de Londres / BFI Flare: London LGBTQIA+ Film Festival | Cinélatino Encontros de Cinema da Amércia Latina de Toulouse / Cinélatino - Rencontres de Toulouse | Festival de Cinema de Istambul / Istanbul Film Festival (IKSV) | Festival de Cinema de Miami / Miami Film Festival | Festival Internacional de Cinema da Transilvânia / Transilvania International Film Festival (TIFF) | Festival Internacional de Cinema do Uruguai / Festival Cinematográfico Internacional del Uruguay | Festival Internacional de Cinema Feminino / Festival International de Films de Femmes | Frameline: Festival Internacional de Cinema LGBTQ+ de São Francisco | Queer Lisboa - Festival Internacional de Cinema Queer,"Ata BRDE/FSA Desempenho Artístico 2ª Edição 2024 (ANCINE, 08/08/2025)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1700450500000,AS BOAS MANEIRAS,as boas maneiras,82.5,31,Athens International Film Festival | BAFICI | BFI - Festival de Cinema de Londres | Chicago Latino Film Festival | Festival de Cinema Brésilien de Paris | Festival de Cinema de Cartagena | Festival de Cinema de Istambul | Festival de Cinema de Locarno | Festival de Cinema e Cultura da América Latina de Biarritz | Festival do Rio | Festival Internacional de Cinema de Busan | Festival Internacional de Cinema de Karlovy Vary | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema do Uruguai | Festival Internacional de Melbourne | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Festival Trois Continents (Nantes) | FICUNAM | IFFK - International Film Festival of Kerala | INDIELISBOA - Festival Internacional de Cinema Independente | Janela Internacional do Cinema | KIFF - Kolkata International Film Festival | Los Angeles AFI Fest | Mostra Internacional de Cinema de São Paulo | New Directors New Films | Palm Springs | Sarajevo Film Festival | SIFF - Seattle International Film Festival | Sitges - Festival Internacional de Cinema Fantástico da Catalunha | Vancouver International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,O Marinheiro das Montanhas,o marinheiro das montanhas,26.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,0,18,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
,Motel Destino,motel destino,28.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,20,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
B1800106900000,BENZINHO,benzinho,50.0,21,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Athens International Film Festival | Cine Ceará | Encontros de Cinema da Amércia Latina de Toulouse | Festival de Cinema Brasileiro de Miami | Festival de Cinema Brésilien de Paris | Festival de Cinema de Bogotá | Festival de Cinema de Denver | Festival de Cinema de Shangai | Festival de Cinema de Vitória | Festival de Cinema e Cultura da América Latina de Biarritz | Festival de Cinema Málaga | Festival de Gramado | Festival Internacional de Cinema de Busan | Festival Internacional de Cinema de Edimburgo | Festival Internacional de Cinema de Karlovy Vary | Festival Internacional de Cinema de Punta Del Este | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema de São Francisco | Festival Internacional de Cinema Latino de Los Angeles | Sundance Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2300327500000,RETRATOS FANTASMAS,retratos fantasmas,51.0,25,Festival de Cannes | Festival de Cinema de Nova York / New York Film Festival (NYFF) | Festival de Cinema de Sydney / Sydney Film Festival (SFF) | Festival de Cinema de Turim / Torino Film Festival (TFF) | Festival de Gramado | Festival du Nouveau Cinéma de Montréal (FNC) | Festival Internacional de Cinema de Busan / Busan International Film Festival (BIFF) | Festival Internacional de Cinema de Cork / Cork International Film Festival | Festival Internacional de Cinema de Estocolmo / Stockholm International Film Festival | Festival Internacional de Cinema de Mar Del Plata / Festival Internacional de Cine de Mar Del Plata | Festival Internacional de Cinema de Marraquexe / Marrakesh International Film Festival (MIFF) | Festival Internacional de Cinema de Melbourne / Melbourne International Film Festival (MIFF) | Festival Internacional de Cinema de Thessaloniki / Thessaloniki International Film Festival | Festival Internacional de Cinema de Toronto / Toronto International Film Festival (TIFF) | Festival Internacional de Cinema de Viena / Viennale | Festival Internacional de Documentários de Amsterdã (IDFA) | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Semana Internacional de Cine de Valladolid (Seminci) | Academia Brasileira de Cinema (Grande Prêmio do Cinema Brasileiro) | Festival Internacional de Cinema da UNAM / Festival Internacional de Cine UNAM (FICUNAM) | Festival Internacional de Cinema de Beijing / Beijing International Film Festival Home | Festival Internacional de Cinema de Hong Kong / Hong Kong International Film Festival | Festival Internacional de Cinema de Shanghai / Shanghai International Film Festival (SIFF) | Festival Internacional de Cinema do Uruguai / Festival Cinematográfico Internacional del Uruguay | Visões da Realidade Festival Internacional de Cinema de Nyon / Visions du Réel,"Ata BRDE/FSA Desempenho Artístico 2ª Edição 2024 (ANCINE, 08/08/2025)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UMA HISTÓRIA DE AMOR E FÚRIA,uma historia de amor e furia,16.5,0,,Ata BRDE/FSA PRODAV 07/2015 — Desempenho Artístico (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2000006700000,MARIGHELLA,marighella,27.5,12,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Athens International Film Festival | Festival de Cinema Brésilien de Paris | Festival de Cinema de Istambul | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Guadalajara | Festival Internacional de Cinema do Cairo | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Hong Kong International Film Festival | IFFI - Festival Internacional de cinema da Índia (Goa) | SFF - Sydney Film Festival | SIFF - Seattle International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Democracia em Vertigem,democracia em vertigem,46.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",10,0,0,0,20,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
,Mato Seco em Chamas,mato seco em chamas,68.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,10,0,0,0,35,0,0,0,0,23,0,0,0,0,0,0,0,0,0
B1900486200000,A FEBRE,a febre,114.5,29,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Chicago Latino Film Festival | Encontros de Cinema da Amércia Latina de Toulouse | Festival de Brasília | Festival de Cine de Mujeres – FEMCINE | Festival de Cinema Brésilien de Paris | Festival de Cinema de Locarno | Festival de Cinema e Cultura da América Latina de Biarritz | Festival do Rio | Festival Internacional de Cine de Mar del Plata | Festival Internacional de Cinema Contemporâneo de Assunção | Festival Internacional de Cinema de Amiens | Festival Internacional de Cinema de Chicago | Festival Internacional de Cinema de Pingyao | Festival Internacional de Cinema de Punta Del Este | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema de São Francisco | Festival Internacional de Cinema de Toronto | Festival Internacional de Marrakesh | Festival Internacional de Melbourne | Festival Internacional de Turim | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | FICUNAM | Forumdoc.bh - Festival do Filme Documentário e Etnográfico | Hong Kong International Film Festival | INDIELISBOA - Festival Internacional de Cinema Independente | Janela Internacional do Cinema | New Directors New Films | Thessaloniki International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1800213800000,BIXA TRAVESTY,bixa travesty,57.0,21,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Black Nights Film Festival | Festival de Brasília | Festival de Cinema de Cartagena | Festival de Cinema de Galway | Festival de Cinema de Tampere | Festival de Cinema e Cultura da América Latina de Biarritz | Festival Internacional de Cine de Mar del Plata | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Busan | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Forumdoc.bh - Festival do Filme Documentário e Etnográfico | Frameline - Festival Internacional de Cinema LGBT de São Francisco | IDFA - Festival Internacional de Documentários de Amsterdam | Mix Brasil | Molodist - Festival Internacional de Cinema de Kiev | NewFest - Festival de Cinema e Mídias LGBTQ+ | Panorama Internacional Coisa de Cinema | Queer Lisboa - Festival Internacional de Cinema Queer | Sheffield Doc Fest | Vancouver Queer Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Corpo Elétrico,corpo eletrico,26.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,0,18,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
,Baby,baby,23.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,15,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
,O Céu de Suely,o ceu de suely,28.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,20,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
,"Viajo Porque Preciso, Volto Porque Te Amo","viajo porque preciso, volto porque te amo",28.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,20,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
B1700051600000,VAZANTE,vazante,36.0,9,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival de Brasília | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Estocolmo | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra Internacional de Cinema de São Paulo | Mumbai International Film Festival | Palm Springs | Vancouver International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1700305400000,GABRIEL E A MONTANHA,gabriel e a montanha,44.0,16,BAFICI | Festival de Cannes | Festival de Cinema Brésilien de Paris | Festival de Cinema de Varsóvia | Festival do Rio | Festival Internacional de Cinema de Busan | Festival Internacional de Cinema de Estocolmo | Festival Internacional de Cinema de Morelia | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Cinema de Roterdã | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra Internacional de Cinema de São Paulo | Sarajevo Film Festival | Semana Internacional de Cine de Valladolid (Seminci) | Thessaloniki International Film Festival | Vancouver International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sem Coração,sem coracao,16.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
,A Paixão Segundo G.H.,a paixao segundo g.h.,28.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,15,0,0
B2000542500000,MEU NOME É BAGDÁ,meu nome e bagda,43.0,11,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Encontros de Cinema da Amércia Latina de Toulouse | Festival de Cine de Mujeres – FEMCINE | Festival do Rio | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Cork | Festival Internacional de Cinema do Cairo | Festival Internacional de Cinema do Uruguai | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Festival Mix Brasil de Cultura da Diversidade | FIFF - Festival Internacional de Films de Fribourg,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,HISTÓRIAS QUE SÓ EXISTEM QUANDO LEMBRADAS,historias que so existem quando lembradas,19.0,0,,Ata BRDE/FSA PRODAV 07/2014 — PAQ (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,GIRIMUNDO,girimundo,17.0,0,,Ata BRDE/FSA PRODAV 07/2014 — PAQ (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TROPICÁLIA,tropicalia,15.5,0,,Ata BRDE/FSA PRODAV 07/2014 — PAQ (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,VIOLETA FOI PARA O CÉU,violeta foi para o ceu,15.0,0,,Ata BRDE/FSA PRODAV 07/2014 — PAQ (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"ERA UMA VEZ EU, VERÔNICA","era uma vez eu, veronica",13.5,0,,Ata BRDE/FSA PRODAV 07/2014 — PAQ (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,MÁE E FILHA,mae e filha,12.5,0,,Ata BRDE/FSA PRODAV 07/2014 — PAQ (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UMA LONGA VIAGEM,uma longa viagem,9.0,0,,Ata BRDE/FSA PRODAV 07/2014 — PAQ (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"LUZ NAS TREVAS, A VOLTA DO BANDIDO DA LUZ VERMELHA","luz nas trevas, a volta do bandido da luz vermelha",8.5,0,,Ata BRDE/FSA PRODAV 07/2014 — PAQ (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,XINGU,xingu,8.5,0,,Ata BRDE/FSA PRODAV 07/2014 — PAQ (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,MARCELO YUKA NO CAMINHO DAS SETAS,marcelo yuka no caminho das setas,7.0,0,,Ata BRDE/FSA PRODAV 07/2014 — PAQ (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,BOCA,boca,6.0,0,,Ata BRDE/FSA PRODAV 07/2014 — PAQ (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,HELENO,heleno,6.0,0,,Ata BRDE/FSA PRODAV 07/2014 — PAQ (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,PARAÍSOS ARTIFICIAIS,paraisos artificiais,4.5,0,,Ata BRDE/FSA PRODAV 07/2014 — PAQ (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TATUAGEM,tatuagem,13.5,0,,Ata BRDE/FSA PRODAV 07/2015 — Desempenho Artístico (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A COLEÇÃO INVISIVEL,a colecao invisivel,12.5,0,,Ata BRDE/FSA PRODAV 07/2015 — Desempenho Artístico (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A MEMÓRIA QUE ME CONTAM,a memoria que me contam,11.5,0,,Ata BRDE/FSA PRODAV 07/2015 — Desempenho Artístico (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,OLHE PRA MIM DE NOVO,olhe pra mim de novo,10.5,0,,Ata BRDE/FSA PRODAV 07/2015 — Desempenho Artístico (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,O ABISMO PRATEADO,o abismo prateado,10.5,0,,Ata BRDE/FSA PRODAV 07/2015 — Desempenho Artístico (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,MEU PÉ DE LARANJA LIMA,meu pe de laranja lima,10.5,0,,Ata BRDE/FSA PRODAV 07/2015 — Desempenho Artístico (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TABU,tabu,9.0,0,,Ata BRDE/FSA PRODAV 07/2015 — Desempenho Artístico (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A BUSCA,a busca,8.0,0,,Ata BRDE/FSA PRODAV 07/2015 — Desempenho Artístico (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"HABI, LA EXTRANJERA","habi, la extranjera",7.5,0,,Ata BRDE/FSA PRODAV 07/2015 — Desempenho Artístico (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
